Urban agglomeration,Country,"Total 2010 population, thousands",pop below 1.5 rise level,pop below 2 rise level,pop below 3 rise level,pop below 4 rise level,percent pop below 1.5C,percent pop below 2C,percent pop below 3C,percent pop below 4,sea level rise (m) 1.5c,sea level rise (m) 2C,sea level rise (m) 3C,sea level rise (m) 4C
Wuhu,China,1551.43,1.31,6.25,31.86,201.45,0.00,0.00,0.02,0.13,2.96,4.83,6.60,9.11
Wuxi,China,7454.13,697.20,2104.65,4294.37,6311.96,0.09,0.28,0.58,0.85,3.02,4.94,6.74,9.31
Xiamen,China,1246.92,26.90,60.93,119.00,246.18,0.02,0.05,0.10,0.20,3.04,4.98,6.79,9.38
Yangzhou,China,1493.02,5.48,55.33,179.54,383.88,0.00,0.04,0.12,0.26,2.99,4.88,6.67,9.20
Yantai,China,1373.36,47.97,142.71,257.34,361.89,0.04,0.10,0.19,0.26,3.09,5.06,6.90,9.52
Yingkow,China,1540.85,561.12,950.40,1092.72,1182.32,0.36,0.62,0.71,0.77,2.99,4.88,6.66,9.18
Zhangzhou,China,1344.87,148.31,277.69,382.90,518.08,0.11,0.21,0.29,0.39,3.02,4.94,6.75,9.32
Zhanjiang,China,1262.37,52.61,106.27,187.30,319.99,0.04,0.08,0.15,0.25,3.05,4.99,6.80,9.38
Zhenjiang,China,1425.96,21.33,66.67,203.45,456.49,0.02,0.05,0.14,0.32,2.99,4.89,6.68,9.22
Zibo,China,5359.12,0.06,1.85,20.92,110.61,0.00,0.00,0.00,0.02,3.01,4.91,6.70,9.25
Barranquilla,Colombia,1170.84,79.49,108.40,127.83,149.70,0.07,0.09,0.11,0.13,3.05,4.98,6.71,9.16
Abidjan,Cote d'Ivoire,4046.79,398.10,777.34,1111.50,1363.13,0.10,0.19,0.28,0.34,2.94,4.80,6.50,8.91
Havana,Cuba,2184.59,93.42,160.69,232.69,306.51,0.04,0.07,0.11,0.14,3.04,4.96,6.64,9.00
Copenhagen,Denmark,1397.85,176.42,254.56,324.66,390.98,0.13,0.18,0.23,0.28,2.84,4.58,5.83,7.50
Santo Domingo,Dominican Republic,3101.10,55.80,86.52,113.34,157.68,0.02,0.03,0.04,0.05,3.04,4.97,6.65,9.03
Guayaquil,Ecuador,2411.26,954.26,1433.34,1683.36,1857.98,0.40,0.59,0.70,0.77,3.02,4.93,6.70,9.21
Alexandria3,Egypt,4900.98,2376.98,2755.35,3045.26,3421.12,0.49,0.56,0.62,0.70,2.92,4.76,6.38,8.65
Cairo,Egypt,15518.78,2.88,30.81,102.62,341.12,0.00,0.00,0.01,0.02,2.86,4.66,6.26,8.49
Dumyat,Egypt,1266.08,570.43,868.32,1018.73,1138.84,0.45,0.69,0.81,0.90,2.93,4.78,6.40,8.68
El Giza,Egypt,5780.38,0.00,0.02,0.07,0.46,0.00,0.00,0.00,0.00,2.84,4.63,6.21,8.43
El Mansura,Egypt,1267.71,44.90,298.48,585.28,821.86,0.04,0.24,0.46,0.65,2.91,4.74,6.36,8.63
Tanta,Egypt,9466.34,31.82,168.61,729.80,2487.49,0.00,0.02,0.08,0.26,2.88,4.69,6.30,8.54
Lille,France,1300.61,0.07,0.46,1.01,2.72,0.00,0.00,0.00,0.00,2.79,4.51,5.77,7.45
Marseille,France,1071.39,18.30,30.47,38.21,53.97,0.02,0.03,0.04,0.05,2.85,4.62,6.03,7.95
Hamburg,Germany,2074.52,170.10,246.83,280.61,313.33,0.08,0.12,0.14,0.15,2.79,4.52,5.77,7.44
Accra,Ghana,2619.28,18.13,40.48,76.41,210.84,0.01,0.02,0.03,0.08,2.95,4.82,6.53,8.94
